Dataset_Name,Organization,Topside_Data_Recorder,In-water_Observer,Island,Sub-Island_Region,Survey_Type,GPS_Unit,GPS_Start,GPS_End,Tow_Dive_Number,Date,Time,Damage_Score,Notes
Oahu_HurricaneTEST_Assessment,Group1,Alyssa Varela and Eric Conklin,Shannon R and Zack C,Oahu,Sand Island ,Snorkel Tow,H1,9:43:00,9:50:00,1,4/17/2024,9:46:59,1,
Oahu_HurricaneTEST_Assessment,Group1,Alyssa Varela and Eric Conklin,Shannon R and Zack C,Oahu,Sand Island ,Snorkel Tow,H1,9:43:00,9:50:00,1,4/17/2024,9:47:45,3,
Oahu_HurricaneTEST_Assessment,Group1,Alyssa Varela and Eric Conklin,Shannon R and Zack C,Oahu,Sand Island ,Snorkel Tow,H1,9:43:00,9:50:00,1,4/17/2024,9:47:50,4,
Oahu_HurricaneTEST_Assessment,Group1,Shannon R and Zack C,Alyssa Varela and Eric Conklin,Oahu,Sand Island ,Snorkel Tow,H1,9:56:55,10:05:00,2,4/17/2024,9:57:48,4,
Oahu_HurricaneTEST_Assessment,Group1,Shannon R and Zack C,Alyssa Varela and Eric Conklin,Oahu,Sand Island ,Snorkel Tow,H1,9:56:55,10:05:00,2,4/17/2024,9:58:22,1,
Oahu_HurricaneTEST_Assessment,Group1,Shannon R and Zack C,Alyssa Varela and Eric Conklin,Oahu,Sand Island ,Snorkel Tow,H1,9:56:55,10:05:00,2,4/17/2024,9:59:07,2,
Oahu_HurricaneTEST_Assessment,Group1,Shannon R and Zack C,Alyssa Varela and Eric Conklin,Oahu,Sand Island ,Snorkel Tow,H1,9:56:55,10:05:00,2,4/17/2024,9:59:37,4,
Oahu_HurricaneTEST_Assessment,Group1,Shannon R and Zack C,Alyssa Varela and Eric Conklin,Oahu,Sand Island ,Snorkel Tow,H1,9:56:55,10:05:00,2,4/17/2024,10:00:45,2,
Oahu_HurricaneTEST_Assessment,Group1,Shannon R and Zack C,Alyssa Varela and Eric Conklin,Oahu,Sand Island ,Snorkel Tow,H1,9:56:55,10:05:00,2,4/17/2024,10:01:24,3,
Oahu_HurricaneTEST_Assessment,Group1,Shannon R and Zack C,Alyssa Varela and Eric Conklin,Oahu,Sand Island ,Snorkel Tow,H1,9:56:55,10:05:00,2,4/17/2024,10:01:59,4,
Oahu_HurricaneTEST_Assessment,Group1,Shannon R and Zack C,Alyssa Varela and Eric Conklin,Oahu,Sand Island ,Snorkel Tow,H1,9:56:55,10:05:00,2,4/17/2024,10:02:16,3,
Oahu_HurricaneTEST_Assessment,Group1,Shannon R and Zack C,Alyssa Varela and Eric Conklin,Oahu,Sand Island ,Snorkel Tow,H1,9:56:55,10:05:00,2,4/17/2024,10:02:56,4,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:29:21,4,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:29:22,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:29:38,4,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:29:46,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:29:53,2,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:29:56,2,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:30:12,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:30:16,4,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:30:19,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:30:29,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:30:37,3,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:30:40,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:30:53,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:31:07,4,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:31:44,1,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:31:50,3,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:31:55,2,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:32:02,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:32:06,3,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:32:16,4,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:32:27,1,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:32:27,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:32:35,2,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:32:43,1,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:32:50,3,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:33:12,1,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:33:12,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:33:20,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,10:33:31,,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:43:50,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:44:09,2,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:44:28,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:44:51,2,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:44:52,4,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:45:01,1,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:45:20,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:45:21,4,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:45:36,2,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:45:36,4,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:45:36,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:45:52,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:46:04,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:46:16,3,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:46:21,2,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:46:32,4,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:46:42,3,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:46:43,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:46:55,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:47:03,D,
Oahu_HurricaneTEST_Assessment,Group2,Christina Jayne,Morgan Short & Tim Leichtler,Oahu,Sand Island Boat Launch,Snorkel Tow,Kauai1,10:27:15,12:47:10,1,4/17/2024,12:47:10,3,
Oahu_HurricaneTEST_Assessment,Group3,LN,"KG, TX",Oahu,Port Royal,Snorkel Tow,Name Units! ,11:10:22,11:31:42,1,4/17/2024,11:10:22,4,
Oahu_HurricaneTEST_Assessment,Group3,LN,"KG, TX",Oahu,Port Royal,Snorkel Tow,Name Units! ,11:10:22,11:31:42,1,4/17/2024,11:11:05,2,
Oahu_HurricaneTEST_Assessment,Group3,LN,"KG, TX",Oahu,Port Royal,Snorkel Tow,Name Units! ,11:10:22,11:31:42,1,4/17/2024,11:11:22,1,
Oahu_HurricaneTEST_Assessment,Group3,LN,"KG, TX",Oahu,Port Royal,Snorkel Tow,Name Units! ,11:10:22,11:31:42,1,4/17/2024,11:12:00,4,
Oahu_HurricaneTEST_Assessment,Group3,"TS, LR","KG, Tara",Oahu,Port Royal,Snorkel Tow,Name Units!,11:10:22,11:13:05,2,4/17/2024,11:13:05,2,
Oahu_HurricaneTEST_Assessment,Group3,"TS, LR","KG, Tara",Oahu,Port Royal,Snorkel Tow,Name Units!,11:10:22,11:13:05,2,4/17/2024,11:13:08,4,
Oahu_HurricaneTEST_Assessment,Group3,"TS, LR","KG, Tara",Oahu,Port Royal,Snorkel Tow,Name Units!,11:10:22,11:13:05,2,4/17/2024,11:13:50,3,
Oahu_HurricaneTEST_Assessment,Group3,"TS, LR","KG, Tara",Oahu,Port Royal,Snorkel Tow,Name Units!,11:10:22,11:13:05,2,4/17/2024,11:14:29,4,
Oahu_HurricaneTEST_Assessment,Group3,"TS, LR","KG, Tara",Oahu,Port Royal,Snorkel Tow,Name Units!,11:10:22,11:13:05,2,4/17/2024,11:14:30,D,
Oahu_HurricaneTEST_Assessment,Group3,"TS, LR","KG, Tara",Oahu,Port Royal,Snorkel Tow,Name Units!,11:10:22,11:13:05,2,4/17/2024,11:14:48,3,
Oahu_HurricaneTEST_Assessment,Group3,"TS, LR","KG, Tara",Oahu,Port Royal,Snorkel Tow,Name Units!,11:10:22,11:13:05,2,4/17/2024,11:15:00,4,
Oahu_HurricaneTEST_Assessment,Group3,"TS, LR","KG, Tara",Oahu,Port Royal,Snorkel Tow,Name Units!,11:10:22,11:13:05,2,4/17/2024,11:15:20,3,
Oahu_HurricaneTEST_Assessment,Group3,"TS, LR","KG, Tara",Oahu,Port Royal,Snorkel Tow,Name Units!,11:10:22,11:13:05,2,4/17/2024,11:15:41,4,
Oahu_HurricaneTEST_Assessment,Group3,"TS, LR","KG, Tara",Oahu,Port Royal,Snorkel Tow,Name Units!,11:10:22,11:13:05,2,4/17/2024,11:16:10,3,
Oahu_HurricaneTEST_Assessment,Group3,TS,"LN, KG",Oahu,Port Royal,Snorkel Tow,Name Units!,11:28:16,11:31:42,4,4/17/2024,11:28:16,1,
Oahu_HurricaneTEST_Assessment,Group3,TS,"LN, KG",Oahu,Port Royal,Snorkel Tow,Name Units!,11:28:16,11:31:42,4,4/17/2024,11:28:22,4,
Oahu_HurricaneTEST_Assessment,Group3,TS,"LN, KG",Oahu,Port Royal,Snorkel Tow,Name Units!,11:28:16,11:31:42,4,4/17/2024,11:28:29,D,
Oahu_HurricaneTEST_Assessment,Group3,TS,"LN, KG",Oahu,Port Royal,Snorkel Tow,Name Units!,11:28:16,11:31:42,4,4/17/2024,11:28:35,1,
Oahu_HurricaneTEST_Assessment,Group3,TS,"LN, KG",Oahu,Port Royal,Snorkel Tow,Name Units!,11:28:16,11:31:42,4,4/17/2024,11:29:42,3,
Oahu_HurricaneTEST_Assessment,Group3,TS,"LN, KG",Oahu,Port Royal,Snorkel Tow,Name Units!,11:28:16,11:31:42,4,4/17/2024,11:30:10,1,
Oahu_HurricaneTEST_Assessment,Group3,TS,"LN, KG",Oahu,Port Royal,Snorkel Tow,Name Units!,11:28:16,11:31:42,4,4/17/2024,11:30:15,1,
Oahu_HurricaneTEST_Assessment,Group3,TS,"LN, KG",Oahu,Port Royal,Snorkel Tow,Name Units!,11:28:16,11:31:42,4,4/17/2024,11:30:23,3,
Oahu_HurricaneTEST_Assessment,Group3,TS,"LN, KG",Oahu,Port Royal,Snorkel Tow,Name Units!,11:28:16,11:31:42,4,4/17/2024,11:31:30,D,
Oahu_HurricaneTEST_Assessment,Group4,,JER,Oahu,SandIsland,SCUBA,Maui,9:48:17,10:04:13,1,4/17/2024,9:48:17,D,
Oahu_HurricaneTEST_Assessment,Group4,,JER,Oahu,SandIsland,SCUBA,Maui,9:48:17,10:04:13,1,4/17/2024,9:49:35,1,
Oahu_HurricaneTEST_Assessment,Group4,,JER,Oahu,SandIsland,SCUBA,Maui,9:48:17,10:04:13,1,4/17/2024,9:51:44,D,
Oahu_HurricaneTEST_Assessment,Group4,,JER,Oahu,SandIsland,SCUBA,Maui,9:48:17,10:04:13,1,4/17/2024,9:52:34,3,
Oahu_HurricaneTEST_Assessment,Group4,,JER,Oahu,SandIsland,SCUBA,Maui,9:48:17,10:04:13,1,4/17/2024,9:52:43,1,
Oahu_HurricaneTEST_Assessment,Group4,,JER,Oahu,SandIsland,SCUBA,Maui,9:48:17,10:04:13,1,4/17/2024,9:53:12,3,
Oahu_HurricaneTEST_Assessment,Group4,,JER,Oahu,SandIsland,SCUBA,Maui,9:48:17,10:04:13,1,4/17/2024,9:53:49,1,
Oahu_HurricaneTEST_Assessment,Group4,,JER,Oahu,SandIsland,SCUBA,Maui,9:48:17,10:04:13,1,4/17/2024,9:56:36,3,
Oahu_HurricaneTEST_Assessment,Group4,,JER,Oahu,SandIsland,SCUBA,Maui,9:48:17,10:04:13,1,4/17/2024,9:56:54,1,
Oahu_HurricaneTEST_Assessment,Group4,,JER,Oahu,SandIsland,SCUBA,Maui,9:48:17,10:04:13,1,4/17/2024,9:59:06,3,
Oahu_HurricaneTEST_Assessment,Group4,,JER,Oahu,SandIsland,SCUBA,Maui,9:48:17,10:04:13,1,4/17/2024,9:59:55,1,
Oahu_HurricaneTEST_Assessment,Group4,,JER,Oahu,SandIsland,SCUBA,Maui,9:48:17,10:04:13,1,4/17/2024,10:02:15,D,
